price,bedrooms,bathrooms,sqft_living,condition,yr_built
606000,4,2.5,2110,3,1987
312000,4,2,1300,3,1950
650000,3,1.5,1630,3,1940
1135000,4,2.75,3370,3,1970
325000,4,2.5,1890,3,1980
425000,4,2,1520,5,1967
219000,2,1,900,3,1952
250000,3,1,1050,3,1954
390000,3,1.75,1260,4,1966
475000,6,3,3470,3,1924
736000,4,2.5,2290,4,1988
407000,4,2.25,2810,3,1958
272000,3,2.5,1650,3,1998
362000,3,2.25,1640,4,1963
535000,3,2.5,1850,3,1991
284000,4,2.5,2000,3,2003
367500,3,1.5,1410,3,1961
379900,4,1.75,1500,4,1955
520000,3,2.5,2460,4,1980
175000,3,1,1010,3,1954
460000,2,2.25,1230,3,2004
345000,4,2.5,2331,3,2007
455000,5,2.5,2240,3,1978
610000,4,3,2450,5,1967
563000,4,3,3100,3,1996
612500,4,2,2060,3,1949
218000,3,1.75,1850,3,1979
404000,4,1.75,1840,3,1958
860000,4,2,3740,3,2000
136500,3,1.5,1420,3,1962
313950,3,1,1510,4,1940
575000,3,1.75,2130,3,1954
1225000,4,2.25,3490,4,1928
280000,3,1.75,1630,4,1971
515000,3,2.5,1790,3,1989
513000,4,2.5,2000,3,1996
599000,4,2.25,2260,4,1977
685000,4,2.5,3030,3,1999
365000,3,1.5,1310,3,1950
762300,4,2.5,3880,3,1987
1580000,4,3.25,3760,5,1950
562000,5,2.25,3040,3,1984
530000,5,2.5,2910,4,1964
525000,3,2.5,2970,3,1995
484000,2,1.75,1660,3,1942
725126,4,2.5,3200,3,1998
360000,4,2,2680,5,1965
387000,3,1,1230,5,1962
483500,4,2.5,2740,3,1995
655500,4,3.5,3380,3,2000
345000,3,1,1110,3,1956
533000,5,2.75,1800,3,1926
385000,3,1.75,1900,3,1982
675000,2,1,930,3,1951
197000,3,1.75,1690,4,1976
485000,3,2,1420,3,1905
1870000,5,4,4510,3,1969
295000,3,2.25,1980,4,1974
499000,2,1.75,1170,4,1903
1050000,3,2.5,2200,3,2008
191000,3,1.5,800,4,1959
500000,3,2.5,1480,3,2006
390000,5,3.75,2890,3,2006
979000,3,2.5,2690,3,2014
580000,4,3.25,3569,3,2013
369950,3,2,1270,3,2006
1800000,5,5,4490,3,2013
776000,4,2.5,3040,3,2008
519950,3,2.25,1170,3,2014
255000,5,2.25,2060,3,1962
495000,3,1,990,3,1943
510000,4,2.5,2430,3,2003
1150000,4,4,4460,3,2001
253000,3,1.75,1250,3,1994
503000,3,2.75,1540,5,1980
275000,3,2.5,1600,4,1993
249000,3,1,1110,3,1952
310000,3,1.75,1840,4,1974
750000,3,2.75,2520,4,1946
630000,3,2.5,2680,3,1995
599999,9,4.5,3830,3,1938
758000,4,2.75,2410,4,1956
248500,4,1.75,1720,5,1960
310000,3,1.75,2070,4,1973
460000,3,2,1760,4,1985
675000,3,1.75,1680,4,1959
526000,2,2,1550,4,1900
560000,3,3,4120,3,1994
415000,4,3,1830,3,1991
246000,3,1,1400,3,1944
314500,3,1.75,1870,4,1957
3200000,7,4.5,6210,5,1910
420000,2,1.5,1040,4,1904
535000,3,1.75,2720,3,1988
350000,3,1,1010,3,1981
515000,3,1.75,1580,4,1967
749950,4,2.75,2600,5,1949
230000,3,2.5,1920,3,1988
568000,3,2,2350,3,1929
250000,1,1,1100,2,1947
581000,4,2,2510,4,1961
651000,3,2.5,3240,4,1991
600000,3,2.5,2460,4,1977
500000,2,1,1010,4,1906
475000,2,1,820,3,1921
352000,5,2.5,2420,3,1978
420000,3,2.25,1770,3,1977
428000,2,2,1350,3,2003
599000,3,1.75,1960,4,1920
492000,4,2.5,3305,5,1922
630000,2,2.25,2550,3,2011
900000,5,3.75,4130,3,1985
1110000,4,1.5,2310,3,1950
575000,4,2,1650,3,1955
705000,4,2.5,2650,3,1905
940000,4,2.25,1890,3,1963
313000,3,1.75,2190,4,1967
618080,3,2.5,2030,3,1988
640000,3,3,2270,3,2002
485000,3,2,1610,4,1917
300000,2,1,760,3,1913
379500,2,1,1640,3,1978
339950,3,2.25,1630,4,1985
1500000,6,2.5,3560,4,1914
1340000,3,3,2960,3,1937
500000,3,2.5,1940,4,1987
239900,3,2,1410,3,1985
314950,3,1,1040,4,1968
361280,2,1,820,4,1944
100000,2,1,910,3,1956
540000,7,5.75,3700,3,1948
480500,4,2.5,2180,4,1968
280000,3,2.5,1600,3,2000
440000,3,1.75,1500,4,1947
530000,3,1,1340,3,1910
560000,3,2,1860,3,1985
775000,3,2,2540,4,1905
160000,2,1,1040,5,1912
209950,3,1.5,1380,3,1960
226500,3,1.75,1640,3,1988
380000,5,1.75,3000,5,1958
409500,4,2.75,2140,3,1968
690000,3,2,1760,4,1942
405000,3,2.25,1660,4,1961
375000,3,2.5,1830,3,1990
794154,4,2,2210,4,1954
185000,4,1,1490,3,1969
245000,3,1.5,1260,3,2005
1532500,5,4.5,4270,3,2007
1040000,4,3.5,3900,3,2006
425000,2,2.5,1150,3,2008
495000,4,2.75,2656,3,2014
365000,5,2.75,2410,3,2008
417250,3,2.25,1606,3,2009
339950,2,1,820,3,2006
615000,2,1,1540,4,1946
403000,3,2.75,2090,3,2012
980000,5,2.5,3160,4,1971
258000,4,1.75,1730,3,1977
533000,3,1,1670,3,1967
537500,4,2.5,2550,3,2005
830000,5,3,3040,5,1968
712000,3,1,1250,4,1900
262000,4,2.5,2020,3,2002
753888,4,2.5,2660,3,2003
134000,2,1.5,980,3,1922
402000,3,2.5,1960,4,1977
205000,2,1,720,3,1955
553650,2,2.5,1360,3,1997
559950,2,2,1870,3,2006
260000,4,1.5,2130,3,1962
270000,4,2.5,1810,3,1994
295000,2,1.75,2200,3,1973
719000,3,2.5,1690,4,1928
266000,3,2.5,1940,3,1989
325900,4,2.5,2320,3,2004
647500,4,1.75,2060,4,1947
1039000,4,1,3410,5,1910
569000,4,2.25,2250,3,1980
246000,3,1.75,1390,4,1975
515000,2,1,1060,3,1926
207000,3,1,1490,4,1954
780000,4,1.75,2480,3,1950
489990,5,2.25,2440,4,1975
335000,3,1.5,2240,2,1980
295000,3,2.5,1920,3,1993
385000,3,1.75,1890,3,1944
350000,4,1.75,2250,4,1940
235000,2,1,1270,4,1923
358000,2,1.5,960,3,1993
716500,4,2.5,3290,3,2002
228000,4,1.75,2000,3,1965
405000,2,1,1020,4,1948
538000,4,1.75,1840,3,1967
530000,3,1.75,1980,4,1973
1750000,6,3,3510,4,1906
636000,2,1.75,1230,5,1925
535000,4,2.5,2280,3,2004
1500000,3,1.75,2430,4,1952
868500,3,2.5,2920,3,2008
530000,4,2.75,2280,4,1930
450000,3,2,1510,3,1954
230000,3,1.75,950,3,1939
229000,3,2.5,1190,3,2002
437000,3,1.75,1310,4,1976
1307000,5,3.25,2800,5,1932
595000,3,2.5,1750,4,1991
660000,3,1.75,1320,5,1918
347500,4,2.5,2460,3,1989
297950,3,2,1240,3,1967
245000,3,1.5,1260,4,1955
543200,6,2.25,2820,5,1940
1250000,4,3.25,3820,4,1990
413450,3,2.5,1540,3,2008
330000,2,2,1550,2,1972
424500,3,1.75,1460,3,1979
230000,3,1,1390,4,1960
930000,3,3.25,2640,3,1912
349000,3,1.75,1590,3,1988
835000,4,2,1910,5,1941
988500,3,2.75,2015,3,2007
500000,3,1.75,1410,3,2012
499000,2,1.5,1110,3,2005
321950,2,1.25,860,3,2007
494000,3,2.5,2310,3,2011
441750,2,1.5,1020,3,2008
438000,2,1,980,3,2010
985000,4,2.25,4230,3,1989
352000,3,2.25,1640,4,1972
839900,4,3.5,3810,3,2013
765000,4,2.75,2790,3,1996
460000,4,1.75,1750,5,1926
224500,4,1,1430,4,1983
254000,3,2.5,1850,3,2003
255000,2,1,960,4,1984
610000,3,3,2480,4,1976
920000,4,3,3750,3,1976
402500,4,2.5,2600,3,1988
280950,3,1.75,1390,4,1912
604000,4,2.5,2260,3,1989
565000,4,2.25,2470,3,1984
255000,2,1,810,1,1928
445000,4,2,1650,5,1959
2400000,3,2.25,3000,3,2001
195000,2,1,720,3,1950
275000,3,1.5,1390,3,1922
387000,3,2.25,1445,3,2003
490000,2,1,1840,4,1910
505000,3,2.5,2100,3,1999
303500,3,1.5,1060,4,1973
270000,3,1.5,1500,5,1953
323000,4,2.75,1970,3,1977
382000,3,3.25,1410,3,2005
1370000,4,2.75,3720,5,1962
280000,4,2,2190,4,1977
260000,3,2,1920,4,1969
201500,3,1,1160,4,1959
1157200,4,4.25,5860,4,1996
536500,4,1.75,2000,5,1926
248000,4,3,2163,3,2006
532000,5,3,3480,4,1976
580000,4,2.5,2840,3,1998
463000,2,1,1150,4,1905
742500,4,2.75,3100,3,1919
260000,3,2.5,1420,4,1963
590000,4,2.25,2430,3,1993
312000,4,2.25,1930,3,1984
566000,3,2.25,1660,4,1980
511555,3,2,1400,4,1963
583000,4,2.5,2660,3,2001
290000,4,2.5,2000,4,1968
311100,4,2.25,2130,4,1977
325000,3,2.25,1352,3,2007
491300,3,1.75,1750,4,1987
315000,5,1.75,2320,4,1956
360000,2,1,1420,3,1956
330000,4,2.5,1940,3,2003
481450,3,2,1410,3,1940
234950,3,1,1360,3,1977
251000,3,1.75,1220,3,1962
782000,4,2.5,2830,3,1979
833000,4,2.75,3780,3,1999
542500,4,2.5,2330,4,1978
851000,3,2.5,3560,3,1987
325000,4,1.5,1470,3,1976
415000,4,2.25,3060,3,1992
252500,3,1,1030,3,1947
465000,4,2.5,1930,4,1968
336900,3,1.75,1780,4,1979
225000,3,2.5,2000,4,1992
270000,3,2,1690,4,1969
1702500,5,4.5,5190,3,1987
536000,3,1.75,1300,3,1925
585000,4,3.25,2400,4,1982
445000,2,2,1150,3,1940
320000,4,2.25,2310,3,1980
769900,4,3.5,2730,3,2006
557000,4,2.5,2840,3,2012
212000,2,1.5,1020,3,2004
376000,3,2,1340,3,2008
800000,4,3.25,3540,3,2007
2238888,5,6.5,7270,3,2010
324000,3,2.25,998,3,2007
549900,5,2.75,3060,5,1979
320000,3,2.5,2130,3,2003
875000,4,2,2520,3,1921
265000,4,1,1940,3,1962
394950,3,2.5,1350,3,2006
842500,4,2.5,2160,4,1902
368000,3,2.5,1370,3,2007
1225000,4,4.5,5420,3,2001
885000,4,2.5,2830,3,1995
453246,3,2.5,2010,3,2014
927000,4,2.75,3300,3,1953
490000,2,2.5,1230,3,2004
341000,3,1.5,1720,4,1952
235000,1,1,810,5,1941
1200000,3,1.75,1560,4,1928
560000,3,2,2560,3,1986
900000,4,3.25,4700,3,1978
255000,2,1,1220,3,1910
1575000,5,2.75,3650,4,1975
876650,3,3.25,2170,5,1928
540000,4,2.25,2540,3,1990
350000,2,1,910,4,1906
750000,4,2.5,2980,3,2000
582000,4,1.75,2120,3,1951
1315000,4,3.5,3460,3,2004
372500,5,3,2480,3,2004
410000,3,2.25,2200,3,1987
360000,4,2,1730,5,1943
1015000,3,2.5,2920,4,1954
225000,3,1,990,4,1966
647000,4,2.5,3040,3,1999
950000,5,3,4530,4,2003
185000,3,1.5,1370,4,1961
335000,3,2.5,1940,3,2004
210000,3,2.5,1040,3,2004
522000,4,2.25,1800,4,1980
770000,3,1.75,1720,3,1954
499950,3,1,980,3,1941
751000,4,2.5,3110,3,2004
330000,5,3,2100,3,2013
465000,3,1.5,2020,4,1956
850000,4,1.75,2350,4,1961
947500,4,2.25,3290,4,1968
302000,5,2.25,2180,3,1986
500000,2,2.25,1290,3,2007
201000,3,1,1460,4,1969
265000,2,1,1290,3,2008
870300,4,2.5,2350,4,1910
339000,3,1,1080,4,1955
690000,4,2.5,2670,4,1989
788000,4,3.25,3680,3,2003
315275,3,1.75,1440,3,1951
505000,4,1.75,1940,5,1922
368000,3,1,1280,3,1968
947500,3,2.75,2980,5,1917
156000,3,1,970,3,1959
610000,4,3,2110,4,1930
420000,2,2.5,1480,3,2009
192000,2,1,700,3,1953
910000,3,2,2700,4,1962
1300000,4,3.25,2330,3,1918
1346400,5,1.75,3380,4,1963
840000,4,2.75,2600,3,1936
300000,2,1.75,1360,3,1975
505000,4,2.5,2780,3,1978
110000,3,1,1250,5,1945
746000,3,2.5,2620,3,1992
211000,3,1.5,1350,5,1941
675000,4,3,2400,4,1964
734200,4,2.5,2760,5,1928
1225000,4,2.25,3070,3,1976
615000,2,1.75,2040,4,1919
630000,4,2,1770,5,1911
1264000,4,3.75,3490,3,2012
301500,2,1.5,830,3,2005
369000,2,2.5,980,3,2009
635000,3,2.5,1570,3,2010
1033888,4,3.25,3270,3,2014
383000,4,2.5,2160,3,2010
1050000,4,3.75,3280,3,2008
455000,4,2.5,3360,3,2001
819900,5,2.75,3150,3,2013
625000,3,3.5,1810,4,2009
651000,4,2.5,2740,3,1993
480000,5,4.75,3830,3,1976
757000,3,3.25,3190,3,2007
460000,3,2.25,2350,3,1977
267345,4,2.25,2510,4,1972
530000,2,2,1680,3,2006
449500,3,2,1770,4,1954
289000,3,1,1090,5,1981
373000,5,2.5,3001,3,2006
525000,5,3,2450,3,1994
777000,3,3.25,3610,3,2003
550000,4,2,2250,5,1956
523000,3,1.5,1240,4,1957
628000,4,2,2260,3,1958
581000,4,1.75,2090,4,1963
245000,5,1.75,2020,3,1962
415000,3,1.75,1960,5,1911
1895000,5,2.25,3120,4,1969
225000,3,1.5,1250,3,1967
287000,3,2.25,1490,4,1987
799200,6,3,2890,3,1906
239950,3,1,1900,4,1942
591000,3,1.75,1680,5,1922
700000,3,2.5,2030,4,1975
475000,4,2.5,3740,3,2004
575000,3,1.75,1580,4,1951
771000,3,2.25,1780,4,1927
155000,2,1,910,3,1943
550000,7,4,3440,3,1970
645000,3,2.5,1740,4,1975
464000,5,2.5,3400,4,1959
1050000,4,3.25,4400,3,2003
350000,3,2.5,2010,3,1977
591000,4,2.25,2710,4,1977
2555000,4,2.5,5300,2,1923
717000,3,1.5,1310,3,1956
225000,4,1.5,1950,3,1939
225000,3,1,1040,3,1947
345000,3,1.75,1090,3,1968
230000,2,0.75,650,4,1931
385000,3,2,1480,3,1943
90000,2,1,790,3,1973
860000,4,2.5,3560,3,1986
675000,4,2.5,3000,3,2006
975000,4,2.5,3490,3,2000
780000,3,1.75,2340,4,1967
370000,3,1.75,1650,5,1951
665000,3,2,1940,5,1944
675000,5,3,3410,4,1968
620000,3,1,1710,3,1909
1105000,4,1.5,2740,5,1905
450000,3,2.75,1250,3,2010
450000,3,2.25,2450,4,1978
530000,3,1.75,1690,4,1958
635000,4,1.75,1950,4,1969
580000,5,2,2290,3,1964
1550000,5,3.25,3370,5,1982
285000,3,1,1090,4,1973
375000,3,1,1190,4,1953
1400000,5,4.25,3530,3,2001
560000,3,1,1440,3,1910
405000,4,1.75,2180,3,1956
413000,4,1,1410,3,1925
287600,3,2.5,1950,3,1990
1680000,5,3.25,4860,4,1989
225000,3,1,1660,3,1963
319000,3,1,1390,4,1968
322500,3,2,1350,3,1989
570000,3,2,1530,4,1937
465000,3,1.5,1270,3,1950
435000,4,2.25,2140,3,2002
502000,4,2.5,2040,3,2012
525000,3,3.5,2876,3,2007
525000,3,2.5,1580,3,2008
660000,4,3.5,3400,3,2012
870000,4,2.5,3520,3,2006
650000,4,2.5,2210,3,2013
505000,4,2.5,2790,3,2009
330000,3,2.5,1450,3,2007
385000,4,1.75,1620,4,1947
306000,3,1.5,1220,3,2007
546000,3,1.75,2000,4,1921
925000,4,2.5,2190,5,1958
542000,4,1.75,1900,4,1955
800000,3,1,1700,4,1906
620000,5,2.5,2540,5,1929
175000,2,1,1170,3,1911
740000,5,5,5774,3,1984
345000,3,2.25,2120,3,1984
510000,3,1.75,2170,3,1986
530000,4,2.75,2450,5,1974
155000,2,1,700,5,1952
266000,3,2.5,1780,4,1986
257200,3,2,1850,4,1952
265000,3,2,1570,3,1998
372220,3,1,1290,3,1951
337500,5,2,1700,3,1956
582500,2,1.5,1159,3,1948
489200,3,2.75,1850,5,1965
405100,2,1,840,3,1947
372977,3,2.5,1690,3,2014
310000,3,1,1050,3,1953
538000,3,1.75,1400,4,1904
1400000,3,2.5,2550,3,1981
317000,3,2.5,1840,3,2012
702500,3,1.5,2360,5,1926
565000,4,2.5,2240,4,1989
723000,4,2.5,2700,3,2004
766950,3,2.5,3030,4,1992
682000,3,1.75,1830,5,1903
325000,3,2.5,2220,4,1990
543000,3,2.5,2090,3,1962
525000,3,1.75,1600,3,1924
364000,4,1.75,2010,4,1957
394475,2,1,830,3,1955
316000,4,2.5,2010,3,1995
339950,3,1,1050,4,1906
486000,4,2.5,2150,3,1978
160000,3,1,860,4,1963
930000,3,2.5,3100,3,1954
139000,3,1,1100,3,1978
562000,3,1.5,1830,4,1957
299000,2,1.75,1250,4,1950
511000,3,2.5,1820,3,2005
499000,3,2,2090,3,1959
356000,3,3.5,2100,3,1980
470000,4,2.5,2310,3,1991
715000,4,2.25,2060,5,1941
1120000,4,2.25,4470,3,1988
458000,3,1,1660,4,1940
966000,5,4.5,3810,3,2008
305495,3,1.75,2110,4,1966
543000,2,2,2370,3,1992
340000,3,2.25,1970,3,1997
633100,4,2.5,2470,3,1993
310000,3,1,1480,3,1952
349950,5,3,2257,3,2005
267800,2,1,700,4,1949
234000,4,2,1630,4,1975
740000,4,2.5,3430,3,2000
607500,5,1.75,2220,3,1923
223000,3,1.75,1340,4,1973
400000,2,1,980,4,1918
802000,3,2.5,2580,3,1986
253000,4,2.5,2230,3,2006
1058000,4,2,2290,4,1955
300000,3,1,1260,3,1946
625000,4,2.75,1680,4,1966
707000,4,3.25,3200,3,2004
950000,4,2.5,3320,3,1995
420000,4,2.5,3040,3,1999
498000,4,2.75,2270,4,1973
450000,3,2.5,2910,3,1989
955000,5,2.25,2510,3,1972
215000,2,1,1240,3,1967
437000,3,2.75,2580,3,2008
773000,3,2.75,2470,3,2007
1222500,4,3.5,4910,3,2007
256883,3,2.5,1690,3,2003
592500,4,2.5,2240,3,1983
252350,3,2,1650,3,1979
370000,4,2.5,2710,3,1998
465750,3,1.5,1260,3,1959
185000,3,1,1150,3,1932
582800,4,2.75,2550,3,1986
245000,3,1.75,1490,4,1990
302000,4,1.75,2020,4,1963
451555,2,1,1320,3,1912
250000,3,1,1230,4,1957
255000,4,2.5,2070,3,1989
840000,4,1.75,2930,3,1947
190000,3,1,1090,3,1967
349950,3,1,1400,3,1957
613000,4,2,1550,3,1909
300000,3,1,1220,4,1955
455000,3,2.5,1870,3,1980
335000,3,2.25,2150,3,1991
197500,3,1,980,3,1903
412500,3,1.5,1490,4,1963
395300,3,1.5,1120,3,1955
342400,3,2.25,1180,3,1986
749400,4,2.5,3240,3,1985
316500,4,2.5,2150,4,1991
390000,3,2.5,2240,3,1996
225000,3,2,1400,3,1979
550000,3,2.25,1980,4,1980
280000,3,1,1330,3,1959
1255000,4,2.5,3200,3,2006
575000,2,1,1490,3,1946
1000000,5,4.25,3920,3,1990
585000,5,1.75,2000,4,1921
620000,4,2.5,2680,3,1989
204700,4,2,1670,3,1967
695000,4,3,3150,3,2001
689900,4,3.25,2740,3,2003
375000,4,1.75,1890,4,1960
475000,7,3.5,2870,3,1961
215000,3,1,1160,4,1969
2100000,4,1.75,3550,3,1962
790000,3,1.75,1790,3,1940
350000,3,1.75,1680,4,1940
695000,3,2.5,4560,4,1986
263000,3,2.25,1590,4,1991
400000,3,1,1630,5,1953
525000,3,2.5,2700,3,1991
349950,3,2.5,1700,3,1994
1085000,4,3.25,3740,3,1988
744000,4,3,1980,3,1941
312500,2,1,880,3,1919
240000,3,2,1400,3,1948
495000,4,2,2050,5,1941
580050,3,2.5,2360,3,1996
640000,4,2,2560,4,1947
417000,3,1.5,1340,4,1956
174950,3,1,1060,5,1970
295000,3,1.5,850,3,1986
423000,4,1.75,1880,3,1976
839000,3,1,1230,3,1955
343000,4,1.75,2290,3,1960
467000,3,1,1660,5,1946
512500,3,2.5,1840,4,1997
575000,4,2.5,3020,3,1979
465000,3,1.75,1410,3,1924
270000,3,1,1010,3,1969
340000,3,1.75,1960,3,1948
765000,5,3.75,3580,3,1999
497000,4,2.5,2240,3,1995
803100,4,2.5,3310,3,2004
344000,3,2.5,1232,3,2007
828950,4,3.5,3930,3,2013
386380,3,2.5,1720,3,2010
312000,3,2.25,1490,3,2009
720000,3,2.5,3150,3,2007
914500,4,2.5,3950,3,2013
819995,5,2.75,3030,3,2013
252700,2,1.5,1070,3,1985
437500,3,2.5,2320,3,1992
350000,1,1,700,3,1942
619000,3,2.5,2720,3,2005
408200,3,2.5,1800,4,1990
451000,3,1.75,1560,3,1926
317000,3,2,1760,5,1977
799000,4,3.25,3120,3,2005
720000,2,1,2020,4,1947
490000,3,2,1450,3,1900
239900,4,2.25,1860,3,1979
446000,4,2.25,2270,3,1977
275000,3,2.5,1480,3,1987
239950,5,1,1460,4,1941
248000,4,3.5,1850,3,1986
619500,3,2.5,2170,3,2003
363750,3,1.75,1726,4,1982
385000,3,1.75,1180,4,1981
370000,4,1.5,1370,3,1972
425000,3,2.5,2670,4,1988
342000,3,1,1260,3,1944
345000,4,1,1980,3,1962
724800,3,2,2050,3,1926
725000,5,2.75,2830,3,2006
605000,2,1,910,4,1909
350000,4,2.5,2440,3,2009
785000,3,2,2180,5,1904
250000,3,2,1900,5,1966
565000,3,2.25,1520,3,2013
875000,3,2,2220,4,1947
862500,4,2.75,3280,3,1996
400000,3,2.5,2740,3,1973
282613,2,1,830,4,1954
174500,2,1,1010,3,1955
306500,3,2.25,2060,4,1978
445000,3,2.25,1990,3,1984
433000,4,2.5,2280,4,2001
306000,3,2.5,1870,3,2005
620000,3,2.25,1720,4,1921
245000,2,1,870,3,1941
238000,3,2,1020,3,2004
523000,3,1.5,1260,3,1931
522500,3,2.5,2370,3,2003
180000,3,1,1000,3,1940
375000,3,1.5,1100,3,2007
249000,3,2.25,1440,3,1982
730100,4,2.5,3120,3,2003
551000,2,2,2260,3,1990
375000,4,2.5,2790,3,2005
540000,1,1,1140,3,1920
605000,3,2.25,1290,4,1987
205000,5,1.75,1730,4,1978
645000,4,2.5,3160,3,1983
314000,4,2.5,2340,3,2003
330000,3,1.5,1170,4,1960
490000,2,1,1160,4,1937
445000,3,3,1970,3,2010
2000000,5,4.25,6490,4,1991
377500,3,2.25,1410,3,2005
480000,4,2.5,2430,3,2009
804995,5,1.5,3360,3,2014
341000,3,2.5,1480,3,2012
675000,5,2.5,3200,3,2009
611000,3,2.5,2134,3,2008
379950,3,3.25,1860,3,2007
1270000,4,3,5520,3,2008
500000,2,2.5,1310,3,2006
410000,3,2,1700,3,1944
415000,3,2.5,2480,3,1986
